"campaign_id","date","time","timezone","joined_date","advertiser_id","advertiser_name","campaign_name","budget"
13354,"05/11/2018","12:47:00","UTC",2018-11-05 12:47:00,11354,"Coco Cola","Run of network",9000
13354,"04/11/2018","20:17:00","UTC",2018-11-04 20:17:00,11354,"Coco Cola","Run of network",9000
13354,"03/11/2018","11:26:00","Eastern time",2018-11-03 15:26:00,11354,"Coco Cola","Run of network",9000
13354,"03/11/2018","20:38:00","Eastern time",2018-11-04 00:38:00,11354,"Coco Cola","Run of network",9000
55112,"02/11/2018","02:05:00","Eastern time",2018-11-02 06:05:00,34523,"Lever Brows","Q4 performance",250000
55112,"04/11/2018","02:52:00","Eastern time",2018-11-04 07:52:00,34523,"Lever Brows","Q4 performance",250000
55112,"05/11/2018","18:34:00","Eastern time",2018-11-05 23:34:00,34523,"Lever Brows","Q4 performance",250000
55112,"04/11/2018","03:29:00","Eastern time",2018-11-04 08:29:00,34523,"Lever Brows","Q4 performance",250000
55112,"03/11/2018","01:57:00","Eastern time",2018-11-03 05:57:00,34523,"Lever Brows","Q4 performance",250000
55112,"05/11/2018","16:52:00","UTC",2018-11-05 16:52:00,34523,"Lever Brows","Q4 performance",250000
55112,"05/11/2018","13:38:00","UTC",2018-11-05 13:38:00,34523,"Lever Brows","Q4 performance",250000
55112,"03/11/2018","06:31:00","UTC",2018-11-03 06:31:00,34523,"Lever Brows","Q4 performance",250000
55112,"05/11/2018","19:31:00","UTC",2018-11-05 19:31:00,34523,"Lever Brows","Q4 performance",250000
55112,"04/11/2018","20:08:00","UTC",2018-11-04 20:08:00,34523,"Lever Brows","Q4 performance",250000
56444,"03/11/2018","06:56:00","Pacific time",2018-11-03 13:56:00,73453,"Ninetendo","Run of network",1000
56444,"03/11/2018","06:10:00","Pacific time",2018-11-03 13:10:00,73453,"Ninetendo","Run of network",1000
56444,"05/11/2018","12:58:00","Pacific time",2018-11-05 20:58:00,73453,"Ninetendo","Run of network",1000
56444,"02/11/2018","23:39:00","Pacific time",2018-11-03 06:39:00,73453,"Ninetendo","Run of network",1000
56444,"02/11/2018","21:36:00","Pacific time",2018-11-03 04:36:00,73453,"Ninetendo","Run of network",1000
56444,"03/11/2018","08:40:00","Pacific time",2018-11-03 15:40:00,73453,"Ninetendo","Run of network",1000
56444,"02/11/2018","05:45:00","Pacific time",2018-11-02 12:45:00,73453,"Ninetendo","Run of network",1000
56444,"04/11/2018","07:46:00","Pacific time",2018-11-04 15:46:00,73453,"Ninetendo","Run of network",1000
56444,"04/11/2018","14:19:00","Pacific time",2018-11-04 22:19:00,73453,"Ninetendo","Run of network",1000
56444,"03/11/2018","19:43:00","Pacific time",2018-11-04 02:43:00,73453,"Ninetendo","Run of network",1000
56444,"04/11/2018","23:31:00","Pacific time",2018-11-05 07:31:00,73453,"Ninetendo","Run of network",1000
56444,"03/11/2018","00:57:00","Pacific time",2018-11-03 07:57:00,73453,"Ninetendo","Run of network",1000
56444,"03/11/2018","08:13:00","Eastern time",2018-11-03 12:13:00,73453,"Ninetendo","Run of network",1000
99870,"01/11/2018","00:01:00","UTC",2018-11-01 00:01:00,11354,"Coco Cola","Christmas cheer",15000
99870,"06/11/2018","15:07:00","Eastern time",2018-11-06 20:07:00,11354,"Coco Cola","Christmas cheer",15000
99870,"05/11/2018","22:37:00","Eastern time",2018-11-06 03:37:00,11354,"Coco Cola","Christmas cheer",15000
99870,"03/11/2018","11:34:00","Eastern time",2018-11-03 15:34:00,11354,"Coco Cola","Christmas cheer",15000
99870,"05/11/2018","04:09:00","Eastern time",2018-11-05 09:09:00,11354,"Coco Cola","Christmas cheer",15000
99870,"02/11/2018","16:55:00","Eastern time",2018-11-02 20:55:00,11354,"Coco Cola","Christmas cheer",15000
99870,"06/11/2018","21:30:00","Pacific time",2018-11-07 05:30:00,11354,"Coco Cola","Christmas cheer",15000
